Main,Xpath,Value 
,/NewDataSet/Table[1]/Town,[A-Za-z].*
,/NewDataSet/Table[1]/County,[A-Za-z].*
,/NewDataSet/Table[1]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[2]/Town,[A-Za-z].*
,/NewDataSet/Table[2]/County,[A-Za-z].*
,/NewDataSet/Table[2]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[3]/Town,[A-Za-z].*
,/NewDataSet/Table[3]/County,[A-Za-z].*
,/NewDataSet/Table[3]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[4]/Town,[A-Za-z].*
,/NewDataSet/Table[4]/County,[A-Za-z].*
,/NewDataSet/Table[4]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[5]/Town,[A-Za-z].*
,/NewDataSet/Table[5]/County,[A-Za-z].*
,/NewDataSet/Table[5]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[6]/Town,[A-Za-z].*
,/NewDataSet/Table[6]/County,[A-Za-z].*
,/NewDataSet/Table[6]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[7]/Town,[A-Za-z].*
,/NewDataSet/Table[7]/County,[A-Za-z].*
,/NewDataSet/Table[7]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[8]/Town,[A-Za-z].*
,/NewDataSet/Table[8]/County,[A-Za-z].*
,/NewDataSet/Table[8]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[9]/Town,[A-Za-z].*
,/NewDataSet/Table[9]/County,[A-Za-z].*
,/NewDataSet/Table[9]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[10]/Town,[A-Za-z].*
,/NewDataSet/Table[10]/County,[A-Za-z].*
,/NewDataSet/Table[10]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[11]/Town,[A-Za-z].*
,/NewDataSet/Table[11]/County,[A-Za-z].*
